x y z
-1.684 4.592 0.083
-1.684 4.796 0.031
-1.684 5.000 0.017
-1.582 -5.000 1.518
-1.582 -4.796 1.457
-1.582 -4.592 1.394
-1.582 -4.388 1.330
-1.582 -4.184 1.265
-1.582 -3.980 1.197
-1.582 -3.776 1.128
-1.582 -3.571 1.055
-1.582 -3.367 0.980
-1.582 -3.163 0.902
-1.582 -2.959 0.819
-1.582 -2.755 0.731
-1.582 -2.551 0.644
-1.582 -2.347 0.559
-1.582 -2.143 0.474
-1.582 -1.939 0.392
-1.582 -1.735 0.310
-1.582 -1.531 0.230
-1.582 -1.327 0.150
-1.582 -1.122 0.072
-1.582 -0.918 0.002
-1.582 -0.714 0.036
-1.582 -0.510 0.069
-1.582 -0.306 0.102
-1.582 -0.102 0.135
-1.582 0.102 0.167
-1.582 0.306 0.199
-1.582 0.510 0.229
-1.582 0.714 0.258
-1.582 0.918 0.285
-1.582 1.122 0.309
-1.582 1.327 0.330
-1.582 1.531 0.347
-1.582 1.735 0.359
-1.582 1.939 0.366
-1.582 2.143 0.367
-1.582 2.347 0.361
-1.582 2.551 0.351
-1.582 2.755 0.341
-1.582 2.959 0.339
-1.582 3.163 0.334
-1.582 3.367 0.322
-1.582 3.571 0.302
-1.582 3.776 0.274
-1.582 3.980 0.239
-1.582 4.184 0.198
-1.582 4.388 0.152
-1.582 4.592 0.101
-1.582 4.796 0.047
-1.582 5.000 0.007
-1.480 -5.000 1.462
-1.480 -4.796 1.400
-1.480 -4.592 1.337
-1.480 -4.388 1.272
-1.480 -4.184 1.206
-1.480 -3.980 1.137
-1.480 -3.776 1.066
-1.480 -3.571 0.993
-1.480 -3.367 0.915
-1.480 -3.163 0.834
-1.480 -2.959 0.747
-1.480 -2.755 0.660
-1.480 -2.551 0.575
-1.480 -2.347 0.491
-1.480 -2.143 0.409
-1.480 -1.939 0.328
-1.480 -1.735 0.248
-1.480 -1.531 0.169
-1.480 -1.327 0.092
-1.480 -1.122 0.016
-1.480 -0.918 0.026
-1.480 -0.714 0.060
-1.480 -0.510 0.093
-1.480 -0.306 0.125
-1.480 -0.102 0.157
-1.480 0.102 0.189
-1.480 0.306 0.220
-1.480 0.510 0.250
-1.480 0.714 0.278
-1.480 0.918 0.305
-1.480 1.122 0.329
-1.480 1.327 0.350
-1.480 1.531 0.366
-1.480 1.735 0.378
-1.480 1.939 0.384
-1.480 2.143 0.384
-1.480 2.347 0.377
-1.480 2.551 0.366
-1.480 2.755 0.364
-1.480 2.959 0.366
-1.480 3.163 0.361
-1.480 3.367 0.348
-1.480 3.571 0.327
-1.480 3.776 0.297
-1.480 3.980 0.260
-1.480 4.184 0.217
-1.480 4.388 0.168
-1.480 4.592 0.116
-1.480 4.796 0.060
-1.480 5.000 0.001
-1.378 -5.000 1.404
-1.378 -4.796 1.342
-1.378 -4.592 1.279
-1.378 -4.388 1.213
-1.378 -4.184 1.146
