x y z
-1.173 4.592 0.947
-1.173 4.796 0.995
-1.173 5.000 1.043
-1.071 -5.000 0.090
-1.071 -4.796 0.056
-1.071 -4.592 0.023
-1.071 -4.388 0.009
-1.071 -4.184 0.039
-1.071 -3.980 0.068
-1.071 -3.776 0.096
-1.071 -3.571 0.125
-1.071 -3.367 0.153
-1.071 -3.163 0.181
-1.071 -2.959 0.208
-1.071 -2.755 0.236
-1.071 -2.551 0.262
-1.071 -2.347 0.289
-1.071 -2.143 0.314
-1.071 -1.939 0.338
-1.071 -1.735 0.360
-1.071 -1.531 0.380
-1.071 -1.327 0.395
-1.071 -1.122 0.404
-1.071 -0.918 0.406
-1.071 -0.714 0.398
-1.071 -0.510 0.380
-1.071 -0.306 0.351
-1.071 -0.102 0.313
-1.071 0.102 0.267
-1.071 0.306 0.215
-1.071 0.510 0.160
-1.071 0.714 0.102
-1.071 0.918 0.044
-1.071 1.122 0.015
-1.071 1.327 0.074
-1.071 1.531 0.132
-1.071 1.735 0.188
-1.071 1.939 0.244
-1.071 2.143 0.299
-1.071 2.347 0.352
-1.071 2.551 0.404
-1.071 2.755 0.456
-1.071 2.959 0.506
-1.071 3.163 0.555
-1.071 3.367 0.604
-1.071 3.571 0.652
-1.071 3.776 0.700
-1.071 3.980 0.748
-1.071 4.184 0.795
-1.071 4.388 0.842
-1.071 4.592 0.889
-1.071 4.796 0.936
-1.071 5.000 0.984
-0.969 -5.000 0.109
-0.969 -4.796 0.074
-0.969 -4.592 0.040
-0.969 -4.388 0.005
-0.969 -4.184 0.025
-0.969 -3.980 0.055
-0.969 -3.776 0.085
-0.969 -3.571 0.114
-0.969 -3.367 0.143
-0.969 -3.163 0.172
-0.969 -2.959 0.201
-0.969 -2.755 0.230
-0.969 -2.551 0.258
-0.969 -2.347 0.286
-0.969 -2.143 0.314
-0.969 -1.939 0.341
-0.969 -1.735 0.366
-0.969 -1.531 0.390
-0.969 -1.327 0.409
-0.969 -1.122 0.424
-0.969 -0.918 0.430
-0.969 -0.714 0.426
-0.969 -0.510 0.410
-0.969 -0.306 0.382
-0.969 -0.102 0.344
-0.969 0.102 0.299
-0.969 0.306 0.247
-0.969 0.510 0.192
-0.969 0.714 0.135
-0.969 0.918 0.078
-0.969 1.122 0.020
-0.969 1.327 0.037
-0.969 1.531 0.094
-0.969 1.735 0.149
-0.969 1.939 0.204
-0.969 2.143 0.257
-0.969 2.347 0.309
-0.969 2.551 0.360
-0.969 2.755 0.410
-0.969 2.959 0.458
-0.969 3.163 0.507
-0.969 3.367 0.554
-0.969 3.571 0.601
-0.969 3.776 0.648
-0.969 3.980 0.694
-0.969 4.184 0.740
-0.969 4.388 0.786
-0.969 4.592 0.832
-0.969 4.796 0.879
-0.969 5.000 0.925
-0.867 -5.000 0.134
-0.867 -4.796 0.098
-0.867 -4.592 0.063
-0.867 -4.388 0.028
-0.867 -4.184 0.006
-0.867 -3.980 0.037
-0.867 -3.776 0.068
-0.867 -3.571 0.098
-0.867 -3.367 0.128
-0.867 -3.163 0.159
-0.867 -2.959 0.189
