x y z
-0.694 1.020 0.219
-0.694 1.102 0.219
-0.694 1.184 0.219
-0.694 1.265 0.219
-0.694 1.347 0.219
-0.694 1.429 0.219
-0.694 1.510 0.219
-0.694 1.592 0.218
-0.694 1.673 0.218
-0.694 1.755 0.218
-0.694 1.837 0.218
-0.694 1.918 0.218
-0.694 2.000 0.218
-0.612 -2.000 0.591
-0.612 -1.918 0.377
-0.612 -1.837 0.225
-0.612 -1.755 0.195
-0.612 -1.673 0.195
-0.612 -1.592 0.195
-0.612 -1.510 0.195
-0.612 -1.429 0.194
-0.612 -1.347 0.194
-0.612 -1.265 0.194
-0.612 -1.184 0.198
-0.612 -1.102 0.216
-0.612 -1.020 0.244
-0.612 -0.939 0.272
-0.612 -0.857 0.289
-0.612 -0.776 0.292
-0.612 -0.694 0.281
-0.612 -0.612 0.260
-0.612 -0.531 0.238
-0.612 -0.449 0.221
-0.612 -0.367 0.210
-0.612 -0.286 0.204
-0.612 -0.204 0.200
-0.612 -0.122 0.197
-0.612 -0.041 0.196
-0.612 0.041 0.195
-0.612 0.122 0.194
-0.612 0.204 0.194
-0.612 0.286 0.194
-0.612 0.367 0.194
-0.612 0.449 0.193
-0.612 0.531 0.193
-0.612 0.612 0.193
-0.612 0.694 0.193
-0.612 0.776 0.193
-0.612 0.857 0.193
-0.612 0.939 0.193
-0.612 1.020 0.193
-0.612 1.102 0.193
-0.612 1.184 0.193
-0.612 1.265 0.193
-0.612 1.347 0.193
-0.612 1.429 0.193
-0.612 1.510 0.193
-0.612 1.592 0.193
-0.612 1.673 0.193
-0.612 1.755 0.193
-0.612 1.837 0.193
-0.612 1.918 0.192
-0.612 2.000 0.192
-0.531 -2.000 0.470
-0.531 -1.918 0.273
-0.531 -1.837 0.171
-0.531 -1.755 0.169
-0.531 -1.673 0.169
-0.531 -1.592 0.169
-0.531 -1.510 0.169
-0.531 -1.429 0.169
-0.531 -1.347 0.169
-0.531 -1.265 0.169
-0.531 -1.184 0.169
-0.531 -1.102 0.179
-0.531 -1.020 0.202
-0.531 -0.939 0.229
-0.531 -0.857 0.246
-0.531 -0.776 0.249
-0.531 -0.694 0.238
-0.531 -0.612 0.217
-0.531 -0.531 0.199
-0.531 -0.449 0.187
-0.531 -0.367 0.179
-0.531 -0.286 0.175
-0.531 -0.204 0.172
-0.531 -0.122 0.170
-0.531 -0.041 0.169
-0.531 0.041 0.169
-0.531 0.122 0.168
-0.531 0.204 0.168
-0.531 0.286 0.168
-0.531 0.367 0.168
-0.531 0.449 0.168
-0.531 0.531 0.168
-0.531 0.612 0.167
-0.531 0.694 0.167
-0.531 0.776 0.167
-0.531 0.857 0.167
-0.531 0.939 0.167
-0.531 1.020 0.167
-0.531 1.102 0.167
-0.531 1.184 0.167
-0.531 1.265 0.167
-0.531 1.347 0.167
-0.531 1.429 0.167
-0.531 1.510 0.167
-0.531 1.592 0.167
-0.531 1.673 0.167
-0.531 1.755 0.167
-0.531 1.837 0.167
-0.531 1.918 0.167
-0.531 2.000 0.167
-0.449 -2.000 0.357
-0.449 -1.918 0.185
-0.449 -1.837 0.143
-0.449 -1.755 0.143
-0.449 -1.673 0.143
-0.449 -1.592 0.143
-0.449 -1.510 0.143
-0.449 -1.429 0.143
-0.449 -1.347 0.143
-0.449 -1.265 0.143
-0.449 -1.184 0.143
-0.449 -1.102 0.145
-0.449 -1.020 0.162
-0.449 -0.939 0.186
-0.449 -0.857 0.202
-0.449 -0.776 0.205
-0.449 -0.694 0.195
-0.449 -0.612 0.176
-0.449 -0.531 0.163
-0.449 -0.449 0.155
-0.449 -0.367 0.150
-0.449 -0.286 0.147
-0.449 -0.204 0.145
-0.449 -0.122 0.144
-0.449 -0.041 0.143
-0.449 0.041 0.143
-0.449 0.122 0.142
-0.449 0.204 0.142
-0.449 0.286 0.142
-0.449 0.367 0.142
-0.449 0.449 0.142
-0.449 0.531 0.142
-0.449 0.612 0.142
-0.449 0.694 0.142
